time,bus,id,length,bitcount,mode,bytes,b1,b2,b3,b4,b5,b6,b7,b8
0.298340,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.298588,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.299454,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.299676,1,23,214000,111,Rx,7,02,22,01,F1,00,00,40,
0.301344,1,2C4,232000,120,Rx,8,05,3F,00,15,00,80,11,B8
0.302378,1,2C1,232000,120,Rx,8,08,FD,00,01,78,A8,00,F1
0.303928,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.304180,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.304388,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.309538,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.309872,1,20,148000,78,Rx,3,00,00,07,,,,,
0.310140,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.310378,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.311468,1,22,238000,123,Rx,8,01,FB,01,FD,00,00,00,24
0.311692,1,23,216000,112,Rx,7,02,21,01,F0,00,00,3E,
0.315950,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.316177,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.320794,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.321898,1,20,148000,78,Rx,3,00,00,07,,,,,
0.322144,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.322393,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.322631,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.323497,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.323717,1,23,212000,110,Rx,7,02,20,01,EF,00,00,3C,
0.324903,1,2C4,228000,118,Rx,8,05,3C,00,15,00,80,11,B5
0.325919,1,2D0,234000,121,Rx,8,0A,0C,09,00,10,00,00,09
0.327981,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.328233,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.328442,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.333938,1,20,148000,78,Rx,3,00,00,07,,,,,
0.334176,1,2C1,230000,119,Rx,8,08,FD,01,01,76,A8,00,F0
0.334424,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.334662,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.335538,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.335760,1,23,214000,111,Rx,7,02,21,01,F1,00,00,3F,
0.340090,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.340242,1,320,144000,76,Rx,3,00,20,46,,,,,
0.340451,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.341291,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.346069,1,20,148000,78,Rx,3,00,00,07,,,,,
0.346315,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.346553,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.346801,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.347657,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.347881,1,23,216000,112,Rx,7,02,21,01,F0,00,00,3E,
0.348437,1,2C4,228000,118,Rx,8,05,3C,00,15,00,80,11,B5
0.352161,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.352413,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.352622,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.357673,1,2D0,236000,122,Rx,8,0A,0A,09,00,10,00,00,07
0.358105,1,20,148000,78,Rx,3,00,00,07,,,,,
0.358374,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.359028,1,25,232000,120,Rx,8,00,16,88,00,82,82,82,51
0.359698,1,22,238000,123,Rx,8,01,FB,01,FC,00,00,00,23
0.359918,1,23,212000,110,Rx,7,02,20,01,EF,00,00,3C,
0.364186,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.364412,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.365854,1,4C7,238000,123,Rx,8,08,00,01,00,00,00,00,00
0.366092,1,2C1,230000,119,Rx,8,08,FD,01,01,77,A8,00,F1
0.368902,1,340,216000,112,Rx,7,10,00,00,00,44,00,9E,
0.370138,1,20,148000,78,Rx,3,00,00,07,,,,,
0.370384,1,223,238000,123,Rx,8,00,00,00,00,00,00,00,2D
0.370632,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
0.371033,1,25,230000,119,Rx,8,00,16,88,00,78,78,78,33
0.371728,1,22,236000,122,Rx,8,01,FA,01,FC,00,00,00,22
0.371951,1,23,214000,111,Rx,7,02,23,01,F1,00,00,41,
0.372187,1,2C4,228000,118,Rx,8,05,3B,00,15,00,80,11,B4
0.373019,1,2C6,236000,122,Rx,8,00,00,00,18,00,00,00,E8
0.376225,1,B0,202000,105,Rx,6,00,00,00,00,11,00,,
0.376477,1,224,244000,126,Rx,8,00,00,00,00,00,01,00,00
0.376685,1,B2,200000,104,Rx,6,00,00,00,00,11,00,,
0.382191,1,20,148000,78,Rx,3,00,00,07,,,,,
0.382459,1,B4,240000,124,Rx,8,00,00,00,00,00,00,00,BC
